enrollment,direct_certification,meps_poverty_pct,meps_mod_poverty_pct,title_i_binary,school_level_clean_High,school_level_clean_Middle,school_level_clean_Other,school_type_clean_Regular school,school_type_clean_Specialized,charter_Yes,y
1308.0,522.0,14.377176,16.459927,1,False,True,False,True,False,False,1
492.0,304.0,20.841114,22.517332,1,False,False,False,True,False,False,1
467.0,21.0,0.844713,0.0,0,False,False,False,True,False,False,0
299.0,67.0,7.096221,5.287477,1,False,False,False,True,False,False,0
753.0,377.0,16.749743,22.06833,1,False,False,False,True,False,False,0
384.0,145.0,12.45462,12.672676,1,False,False,False,True,False,False,0
367.0,28.0,1.938089,2.033714,1,False,False,False,True,False,False,0
80.0,22.0,10.911916,22.700003,0,False,False,False,True,False,False,1
1425.0,568.0,15.029919,16.46325,1,False,False,True,True,False,True,0
906.0,287.0,10.331589,10.212829,1,False,True,False,True,False,False,1
520.0,108.0,5.999431,3.617486,0,True,False,False,True,False,False,0
687.0,173.0,9.237296,6.855351,0,False,True,False,True,False,False,0
223.0,109.0,16.335281,18.646399,1,False,False,False,True,False,False,0
253.0,108.0,14.174393,15.850611,1,False,False,False,True,False,False,0
695.0,332.0,18.618876,23.93746,1,False,False,False,True,False,False,0
717.0,511.0,24.150087,29.6922,1,False,False,False,True,False,False,1
487.0,329.0,25.524965,26.222557,1,False,False,False,True,False,False,1
307.0,76.0,7.915622,7.796861,0,False,False,False,True,False,False,0
524.0,207.0,14.380917,19.288172,1,True,False,False,True,False,True,0
1827.0,87.0,0.41244,2.053967,0,True,False,False,True,False,False,0
550.0,147.0,8.944505,8.382463,1,False,False,False,True,False,False,0
993.0,67.0,2.947982,5.030732,1,True,False,False,True,False,True,0
1175.0,266.0,6.651786,8.500952,0,True,False,False,True,False,False,0
573.0,161.0,10.254983,12.104149,0,False,True,False,True,False,False,0
413.0,101.0,6.653678,6.091636,0,False,True,False,True,False,False,0
584.0,214.0,16.433325,15.114305,1,False,False,False,True,False,False,0
266.0,9.0,0.0,3.010277,0,False,False,False,True,False,False,0
491.0,43.0,2.672615,5.125715,1,False,False,False,True,False,False,0
676.0,38.0,1.237199,1.478792,1,False,False,False,True,False,False,0
517.0,321.0,22.643652,28.063055,1,False,True,False,True,False,False,1
434.0,167.0,17.07394,27.265135,1,False,False,False,True,False,False,0
553.0,424.0,28.706778,34.24889,1,False,False,False,True,False,False,0
1471.0,106.0,2.061145,3.2,0,True,False,False,True,False,False,0
261.0,174.0,22.543686,32.734882,1,False,False,False,True,False,False,0
377.0,33.0,2.330356,3.225461,0,False,False,False,True,False,False,0
288.0,138.0,15.999428,15.385272,0,False,False,False,True,False,False,1
413.0,241.0,21.48478,27.026892,1,False,False,False,True,False,True,0
421.0,5.0,0.0,1.510028,0,False,False,False,True,False,False,0
395.0,92.0,10.075166,9.197675,1,False,False,False,True,False,False,0
592.0,85.0,3.761775,2.884284,0,True,False,False,True,False,False,0
40.0,26.0,21.437168,20.559677,0,True,False,False,True,False,False,1
677.0,168.0,9.109347,8.231856,0,False,True,False,True,False,False,0
933.0,217.0,7.663842,10.989352,0,True,False,False,True,False,False,0
410.0,122.0,11.629455,14.954965,0,False,True,False,True,False,False,0
397.0,75.0,10.237345,11.132859,0,False,False,False,True,False,False,0
398.0,32.0,2.081461,5.152002,0,False,False,False,True,False,False,0
1782.0,129.0,1.277033,0.10826,0,True,False,False,True,False,False,0
525.0,48.0,3.639218,2.470446,1,False,True,False,True,False,False,0
403.0,65.0,5.245431,6.84096,1,False,False,False,True,False,False,0
163.0,34.0,6.896281,10.2,1,False,False,False,True,False,False,1
338.0,23.0,1.650249,2.557519,0,False,False,False,True,False,False,0
559.0,39.0,1.710285,2.172656,0,False,False,False,True,False,False,0
446.0,38.0,3.421888,3.268698,0,False,True,False,True,False,False,0
224.0,138.0,20.252968,25.160223,1,True,False,False,False,False,False,0
775.0,98.0,3.16391,3.061233,0,True,False,False,True,False,False,0
418.0,127.0,9.879624,11.008781,1,False,False,False,True,False,False,0
398.0,219.0,19.798275,25.526978,1,False,True,False,True,False,True,1
1325.0,127.0,2.095799,3.459919,0,True,False,False,True,False,False,0
586.0,394.0,23.915123,29.334528,1,False,True,False,True,False,False,1
451.0,246.0,22.681479,21.362457,1,False,False,False,True,False,False,1
590.0,394.0,23.756023,27.545837,1,False,True,False,True,False,False,1
254.0,201.0,26.895073,37.086266,1,False,False,False,True,False,False,1
454.0,129.0,9.192503,10.326043,1,False,False,False,True,False,False,0
476.0,37.0,3.16114,4.056245,0,False,True,False,True,False,False,0
184.0,53.0,9.328711,7.990821,1,False,False,False,True,False,False,0
504.0,247.0,17.553211,13.448482,0,False,True,False,True,False,False,1
769.0,97.0,3.152958,4.116511,0,True,False,False,True,False,False,0
601.0,86.0,5.442511,6.406064,1,False,True,False,True,False,False,0
1113.0,275.0,7.374166,9.456916,1,True,False,False,False,True,False,0
434.0,82.0,5.869733,5.767057,1,False,False,False,True,False,False,0
251.0,73.0,9.4262,12.186399,0,False,False,False,True,False,False,0
602.0,341.0,21.716398,18.285048,1,False,False,False,True,False,False,1
368.0,173.0,15.158473,11.727123,1,True,False,False,True,False,False,0
391.0,195.0,17.854837,14.423487,1,False,True,False,True,False,False,1
568.0,152.0,11.28609,11.748462,1,False,False,False,True,False,False,0
497.0,155.0,11.333265,14.093466,0,False,True,False,True,False,False,0
1212.0,526.0,16.26537,21.99407,1,False,False,True,True,False,True,0
1703.0,472.0,8.42397,8.642026,0,True,False,False,True,False,False,0
632.0,114.0,6.743855,6.311818,1,False,True,False,True,False,False,0
801.0,132.0,4.502164,4.070128,0,True,False,False,True,False,False,0
321.0,137.0,14.171384,13.011871,1,False,False,False,True,False,False,0
312.0,88.0,10.292467,6.998251,0,True,False,False,True,False,False,0
409.0,93.0,6.686719,16.575848,1,True,False,False,True,False,False,0
370.0,99.0,9.786947,19.676075,1,False,True,False,True,False,False,0
501.0,139.0,8.958797,9.932713,1,False,False,False,True,False,False,0
2112.0,1225.0,18.994638,24.72334,0,True,False,False,True,False,False,0
534.0,300.0,20.05638,20.753971,1,False,True,False,True,False,False,1
296.0,108.0,12.009984,11.905218,1,False,False,False,True,False,False,0
289.0,89.0,10.023797,6.453255,1,False,False,False,True,False,False,1
51.0,48.0,33.29772,43.48892,1,False,True,False,True,False,False,1
578.0,42.0,1.811395,0.642623,1,False,False,False,True,False,False,0
681.0,321.0,15.72715,18.07264,1,False,False,False,True,False,False,1
307.0,126.0,13.745004,15.812819,1,False,False,False,True,False,True,0
1857.0,518.0,10.184034,12.251848,0,True,False,False,True,False,False,0
737.0,252.0,12.382282,14.450097,1,False,True,False,True,False,False,0
857.0,342.0,13.203714,15.271529,1,False,False,False,True,False,False,0
399.0,199.0,16.68283,21.097654,1,False,False,False,True,False,False,0
521.0,317.0,24.880024,25.577614,1,False,False,False,True,False,False,1
439.0,198.0,14.492403,12.345061,1,True,False,False,True,False,False,0
342.0,163.0,15.91013,16.519117,1,False,False,False,True,False,False,1
1123.0,290.0,7.763572,6.836258,1,True,False,False,False,True,False,0
445.0,314.0,25.220993,35.41219,1,True,False,False,True,False,True,1
374.0,190.0,19.677252,24.995838,1,False,False,False,True,False,False,0
303.0,51.0,2.81996,4.415489,1,False,True,False,True,False,False,0
125.0,33.0,11.160244,13.205915,1,False,False,False,True,False,False,0
858.0,64.0,1.353872,2.042316,1,True,False,False,True,False,False,0
893.0,414.0,17.15402,20.615562,1,False,False,False,True,False,False,0
351.0,109.0,10.113945,12.874146,0,False,False,False,True,False,False,0
