year,ncessch,school_name,state_location,lea_name,school_level,school_type,charter,read_test_pct_prof_midpt,math_test_pct_prof_midpt,title_i_status,enrollment,direct_certification,meps_poverty_pct,meps_poverty_se,meps_poverty_ptl,meps_mod_poverty_pct,meps_mod_poverty_ptl
2018,2.51E+11,1 LT Charles W. Whitcomb School,MA,Marlborough,Middle,Regular school,No,39,33,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,1402,523,12.714574,1.40873,40,15.335472,52
2018,2.51E+11,21st Century Skills Academy,MA,West Springfield,Missing/not reported,Regular school,No,,,Missing/not reported,,,,,,,
2018,2.51E+11,A Drewicz Elementary,MA,Lynn,Primary,Regular school,No,48,47,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,499,303,19.980383,1.332909,65,22.530855,72
2018,2.51E+11,A E Angier,MA,Newton,Primary,Regular school,No,73,65,School is not eligible for either Title I Targeted Assistance or Schoolwide program,503,25,1.422572,1.361879,2,0,1
2018,2.50E+11,A F Maloney,MA,Blackstone-Millville,Primary,Regular school,No,48,41,School is eligible for Title I Targeted Assistance (TAS) and provides TAS program,314,73,7.506809,1.190284,20,6.075194,20
2018,2.51E+11,A. C. Whelan Elementary School,MA,Revere,Primary,Regular school,No,48,42,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,786,373,15.564566,1.206616,50,20.522383,67
2018,2.50E+11,A. Irvin Studley Elementary School,MA,Attleboro,Primary,Regular school,No,57,57,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,396,141,11.620276,1.161295,36,10.679558,36
2018,2.51E+11,Abbot Elementary,MA,Westford,Primary,Regular school,No,74,79,School is not eligible for either Title I Targeted Assistance or Schoolwide program,381,27,2.127065,1.335445,3,2.647927,7
2018,2.50E+11,Abbott Memorial,MA,Florida,Primary,Regular school,No,34.5,34.5,School is eligible for Title I Targeted Assistance (TAS) and provides TAS program,87,24,11.317333,1.089352,34,21.9,70
2018,2.50E+11,Abby Kelley Foster Charter Public School,MA,Abby Kelley Foster Charter Public (District),Other,Regular school,Yes,51,42,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,1428,538,14.695475,1.151268,47,13.932149,47
2018,2.51E+11,Abigail Adams Middle School,MA,Weymouth,Middle,Regular school,No,51,43,School is eligible for Title I Targeted Assistance (TAS) and provides TAS program,885,255,9.359269,1.167613,27,8.313047,28
2018,2.50E+11,Abington Early Education Program,MA,Abington,Prekindergarten,Regular school,No,,,School is not eligible for either Title I Targeted Assistance or Schoolwide program,90,22,,,,,
